Country or Area,Year,Quantity_solar,Quantity_wind
Algeria,2020,665.22,7.701
Algeria,2019,678.05,11.69
Algeria,2018,654.66,10.52
Algeria,2017,559.711,19.4
Algeria,2016,339.1,19.4
Algeria,2015,161.954,19.24
Algeria,2014,197.733,1.0
Argentina,2021,2196.0,12938.0
Argentina,2020,1344.589,9412.333
Argentina,2019,800.0,4996.0
Argentina,2018,108.0,1413.0
Argentina,2017,16.0,612.0
Argentina,2016,14.0,547.0
Argentina,2015,15.0,599.0
Argentina,2014,16.0,619.0
Argentina,2013,15.0,461.0
Argentina,2012,8.0,369.0
Argentina,2011,2.0,26.0
Argentina,2010,0.09,25.0
Argentina,2009,0.08,36.0
Armenia,2020,136.577,1.869
Armenia,2019,60.745,3.23
Armenia,2018,19.463,1.881
Armenia,2017,2.743,2.1
Armenia,2016,1.0,2.0
Armenia,2015,1.0,3.0
Aruba,2021,11.0,172.0
Aruba,2020,11.0,165.0
Aruba,2019,10.0,164.9
Aruba,2018,8.0,174.9
Australia,2020,21033.194,20395.885
Australia,2019,14848.0,17712.0
Australia,2018,9929.0,15164.0
Australia,2017,8071.12,12597.0
Australia,2016,6209.0,12199.0
Australia,2015,5023.0,11467.0
Australia,2014,4010.0,10252.0
Australia,2013,3475.0,7960.0
Australia,2012,2325.0,6970.0
Australia,2011,1391.0,6085.0
Australia,2010,389.0,5052.0
Australia,2009,160.0,3824.0
Australia,2008,127.0,3093.0
Australia,2007,109.0,2611.0
Australia,2006,91.0,1713.0
Australia,2005,79.0,885.0
Australia,2004,69.0,705.0
Australia,2003,59.0,703.0
Australia,2002,50.0,364.0
Australia,2001,44.0,210.0
Australia,2000,38.0,58.0
Australia,1999,34.0,28.0
Australia,1998,28.0,8.0
Australia,1997,23.0,7.0
Australia,1996,19.0,7.0
Australia,1995,16.0,7.0
Australia,1994,13.0,4.0
Austria,2020,2042.934,6791.53
Austria,2019,1702.093,7450.076
Austria,2018,1455.132,6030.429
Austria,2017,1268.971,6571.511
Austria,2016,1096.0,5235.0
Austria,2015,937.0,4840.0
Austria,2014,785.0,3846.0
Austria,2013,626.0,3152.0
Austria,2012,337.0,2463.0
Austria,2011,174.0,1936.0
Austria,2010,89.0,2064.0
Austria,2009,49.0,1954.0
Austria,2008,30.0,2011.0
Austria,2007,24.0,2037.0
Austria,2006,22.0,1753.0
Austria,2005,21.0,1331.0
Austria,2004,18.0,934.0
Austria,2003,15.0,372.0
Austria,2002,9.0,140.0
Austria,2001,5.0,105.0
Austria,2000,3.0,67.0
Austria,1999,2.0,51.0
Austria,1998,2.0,45.0
Austria,1997,2.0,20.0
Austria,1996,1.0,5.0
Austria,1995,1.0,1.0
Azerbaijan,2021,55.2,91.4
Azerbaijan,2020,47.0015,96.101
Azerbaijan,2019,44.2015,105.401
Azerbaijan,2018,39.3,82.7002
Azerbaijan,2017,37.2,22.1
Azerbaijan,2016,35.3,22.8
Azerbaijan,2015,4.6,4.6
Azerbaijan,2014,3.0,2.0
Azerbaijan,2013,1.0,1.0
Bahrain,2020,10.0,1.0
Bahrain,2019,10.0,1.0
Bahrain,2018,9.0,1.0
Bahrain,2017,9.0,1.0
Bahrain,2016,9.0,1.0
Bangladesh,2020,400.973,6.0
Bangladesh,2019,346.896,6.0
Bangladesh,2018,291.3,6.0
Bangladesh,2017,268.3,6.0
Bangladesh,2016,233.0,6.0
Bangladesh,2015,210.0,6.0
Bangladesh,2014,173.0,4.0
Bangladesh,2013,136.0,4.0
Belarus,2020,176.0,194.0
Belarus,2019,181.0,178.0
Belarus,2018,177.0,99.0
Belarus,2017,89.0,97.0
Belarus,2016,28.0,75.0
Belarus,2015,8.0,26.0
Belarus,2014,1.0,11.0
Belgium,2020,5105.4,12763.6
Belgium,2019,4251.6,9750.2
Belgium,2018,3903.2,7571.4
Belgium,2017,3307.8,6518.3
Belgium,2016,3095.0,5417.0
Belgium,2015,3056.0,5574.0
Belgium,2014,2886.0,4615.0
Belgium,2013,2644.0,3665.0
Belgium,2012,2148.0,2751.0
Belgium,2011,1169.0,2312.0
Belgium,2010,560.0,1292.0
Belgium,2009,166.0,996.0
Belgium,2008,42.0,637.0
Belgium,2007,6.0,491.0
Belgium,2006,2.0,366.0
Belgium,2005,1.0,227.0
Belgium,2004,1.0,142.0
Bhutan,2021,0.385,1.11
Bhutan,2020,0.385,1.11
Bhutan,2019,0.385,1.13
Bhutan,2018,0.385,1.13
Bhutan,2017,0.385,1.11
Bhutan,2016,0.385,0.71
Bolivia (Plur. State of),2020,332.4,64.2
Bolivia (Plur. State of),2019,188.0,70.2
Bolivia (Plur. State of),2018,127.43,58.84
Bolivia (Plur. State of),2017,5.82,60.4
Bolivia (Plur. State of),2016,6.0,35.0
Bolivia (Plur. State of),2015,5.0,12.0
Bolivia (Plur. State of),2014,6.0,8.0
Bolivia (Plur. State of),2013,3.0,1.0
"Bonaire, St Eustatius, Saba",2021,8.0,32.0
"Bonaire, St Eustatius, Saba",2020,7.6,25.4
"Bonaire, St Eustatius, Saba",2019,8.7,32.5
"Bonaire, St Eustatius, Saba",2018,8.0,37.1
"Bonaire, St Eustatius, Saba",2017,3.9,31.5
"Bonaire, St Eustatius, Saba",2016,2.4,35.1
Bosnia and Herzegovina,2020,45.0,262.0
Bosnia and Herzegovina,2019,30.0,254.0
Bosnia and Herzegovina,2018,21.0,103.0
Brazil,2020,10750.0,57050.0
Brazil,2019,6655.0,55986.0
Brazil,2018,3461.0,48475.0
Brazil,2017,832.0,42373.0
Brazil,2016,85.0,33488.0
Brazil,2015,59.0,21626.0
Brazil,2014,16.0,12211.0
Brazil,2013,7.0,6579.0
British Virgin Islands,2021,0.4,1.25
British Virgin Islands,2020,0.4,1.25
British Virgin Islands,2019,0.32,0.7
British Virgin Islands,2018,0.3,0.7
British Virgin Islands,2017,0.4,0.7
British Virgin Islands,2016,0.7,1.05
British Virgin Islands,2015,0.67,1.05
British Virgin Islands,2014,0.67,1.05
British Virgin Islands,2013,0.29,1.05
British Virgin Islands,2012,0.02,1.05
British Virgin Islands,2011,0.02,1.05
Bulgaria,2020,1480.856,1477.131
Bulgaria,2019,1442.468,1316.988
Bulgaria,2018,1342.775,1318.123
Bulgaria,2017,1402.965,1504.064
Bulgaria,2016,1386.0,1425.0
Bulgaria,2015,1383.0,1452.0
Bulgaria,2014,1252.0,1331.0
Bulgaria,2013,1361.0,1374.0
Bulgaria,2012,814.0,1221.0
Bulgaria,2011,101.0,861.0
Bulgaria,2010,15.0,681.0
Bulgaria,2009,3.0,237.0
Cabo Verde,2021,6.6,70.0
Cabo Verde,2020,6.53,63.9
Cabo Verde,2019,8.9,73.8
Cabo Verde,2018,9.5,80.2
Cabo Verde,2017,6.6,68.3
Cabo Verde,2016,5.6,76.9
Cabo Verde,2015,6.2,78.4
Cabo Verde,2014,5.02,65.67
Cabo Verde,2013,7.28,75.82
Cabo Verde,2012,7.49,61.4
Cabo Verde,2011,8.96,15.61
Cabo Verde,2010,2.11,1.99
Cabo Verde,2009,0.0,4.66
Cabo Verde,2008,0.0,5.51
Cabo Verde,2007,0.0,6.87
Canada,2020,4846.0,35638.0
Canada,2019,4415.0,32748.0
Canada,2018,4107.0,33142.0
Canada,2017,3892.0,31511.0
Canada,2016,4030.0,30930.0
Canada,2015,2895.0,26964.0
Canada,2014,2120.0,22538.0
