DATAFLOW,FREQ,REF_AREA,COMMODITY,TRANSACTION,TIME_PERIOD,OBS_VALUE,UNIT_MULT,UNIT_MEASURE,OBS_STATUS
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,1990,91033,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,1991,92713,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,1992,83987,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,1993,67463,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,1994,48658,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,1995,51519,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,1996,48538,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,1997,46981,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,1998,40046,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,1999,36163,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,2000,30600,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,2001,31513,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,2002,29539,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,2003,27759,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,2004,24535,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,2005,20008,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,2006,18079,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,2007,16540,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,2008,17605,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,2009,17374,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,2010,17816,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,2011,17892,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,2012,16287,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,2013,12673,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,2014,11647,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,2015,8598,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,2016,4178,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,2017,3040.901,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,2018,2781.862,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,2019,2591.056,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,2020,1673.165,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,01,2021,1053.822,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,022,1990,1729,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,022,1991,2209,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,022,1992,506,3,TN,A
UNSD:DF_UNDATA_ENERGY(1.0),A,826,0100,022,1993,736,3,TN,A
