T23,"Production, trade and supply of energy",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",1995,Primary energy production (petajoules),"381,763",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
1,"Total, all countries or areas",2000,Primary energy production (petajoules),"412,132",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
1,"Total, all countries or areas",2005,Primary energy production (petajoules),"477,281",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
1,"Total, all countries or areas",2010,Primary energy production (petajoules),"530,045",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
1,"Total, all countries or areas",2015,Primary energy production (petajoules),"569,897",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
1,"Total, all countries or areas",2018,Primary energy production (petajoules),"600,772",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
1,"Total, all countries or areas",2019,Primary energy production (petajoules),"612,730",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
1,"Total, all countries or areas",2020,Primary energy production (petajoules),"586,995",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
1,"Total, all countries or areas",1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-8,986",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
1,"Total, all countries or areas",2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-10,205",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
1,"Total, all countries or areas",2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-14,264",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
1,"Total, all countries or areas",2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-13,411",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
1,"Total, all countries or areas",2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-19,089",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
1,"Total, all countries or areas",2018,Net imports [Imports - Exports - Bunkers] (petajoules),"-21,771",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
